Locus ID:YP_0969	KL Distance:0.690
Locus ID:YP_0822	KL Distance:0.597
Locus ID:YP_0202	KL Distance:0.565
Locus ID:YP_2732	KL Distance:0.565
Locus ID:YP_2731	KL Distance:0.561
Locus ID:YP_1059	KL Distance:0.553
Locus ID:YP_3460	KL Distance:0.551
Locus ID:YP_3394	KL Distance:0.550
Locus ID:YP_0506	KL Distance:0.549
Locus ID:YP_1957	KL Distance:0.542
Locus ID:YP_2730	KL Distance:0.540
Locus ID:YP_1182	KL Distance:0.539
Locus ID:YP_0970	KL Distance:0.522
Locus ID:YP_1969	KL Distance:0.521
Locus ID:YP_0964	KL Distance:0.521
Locus ID:YP_1201	KL Distance:0.516
Locus ID:YP_3788	KL Distance:0.515
Locus ID:YP_3298	KL Distance:0.515
Locus ID:YP_0422	KL Distance:0.510
Locus ID:YP_3111	KL Distance:0.508
Locus ID:YP_3656	KL Distance:0.507
Locus ID:YP_1374	KL Distance:0.502
Locus ID:YP_3789	KL Distance:0.501
Locus ID:YP_1521	KL Distance:0.495
Locus ID:YP_2105	KL Distance:0.489
Locus ID:YP_1206	KL Distance:0.487
Locus ID:YP_3990	KL Distance:0.481
Locus ID:YP_1147	KL Distance:0.476
Locus ID:YP_0805	KL Distance:0.469
Locus ID:YP_1520	KL Distance:0.467
Locus ID:YP_2960	KL Distance:0.467
Locus ID:YP_1149	KL Distance:0.464
Locus ID:YP_1365	KL Distance:0.459
Locus ID:YP_3790	KL Distance:0.457
Locus ID:YP_0176	KL Distance:0.456
Locus ID:YP_1609	KL Distance:0.455
Locus ID:YP_1145	KL Distance:0.454
Locus ID:YP_3062	KL Distance:0.452
Locus ID:YP_2840	KL Distance:0.451
Locus ID:YP_3344	KL Distance:0.449
Locus ID:YP_0310	KL Distance:0.446
Locus ID:YP_2634	KL Distance:0.446
Locus ID:YP_3692	KL Distance:0.440
Locus ID:YP_0971	KL Distance:0.440
Locus ID:YP_3345	KL Distance:0.438
Locus ID:YP_3558	KL Distance:0.438
Locus ID:YP_3768	KL Distance:0.436
Locus ID:YP_1388	KL Distance:0.435
Locus ID:YP_1720	KL Distance:0.434
Locus ID:YP_2839	KL Distance:0.433
Locus ID:YP_4013	KL Distance:0.432
Locus ID:YP_2117	KL Distance:0.431
Locus ID:YP_2844	KL Distance:0.430
Locus ID:YP_2806	KL Distance:0.429
Locus ID:YP_0828	KL Distance:0.428
Locus ID:YP_0772	KL Distance:0.426
Locus ID:YP_2849	KL Distance:0.425
Locus ID:YP_2652	KL Distance:0.424
Locus ID:YP_3663	KL Distance:0.423
Locus ID:YP_3755	KL Distance:0.423
Locus ID:YP_2838	KL Distance:0.420
Locus ID:YP_2847	KL Distance:0.420
Locus ID:YP_1456	KL Distance:0.420
Locus ID:YP_1646	KL Distance:0.417
Locus ID:YP_2848	KL Distance:0.417
Locus ID:YP_0572	KL Distance:0.416
Locus ID:YP_2687	KL Distance:0.415
Locus ID:YP_2302	KL Distance:0.414
Locus ID:YP_2318	KL Distance:0.414
Locus ID:YP_2846	KL Distance:0.414
Locus ID:YP_1390	KL Distance:0.412
